,idx_2004,No_2004,Type_2004,State_2004,Winning Candidate_2004,Party_2004,Electors_2004,Votes_2004,Turnout_2004,Margin_2004,Margin %_2004,idx_2009,No_2009,Type_2009,State_2009,Winning Candidate_2009,Party_2009,Electors_2009,Votes_2009,Turnout_2009,Margin_2009,Margin %_2009,idx,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,idx_2019,No_2019,Type_2019,State_2019,Winning Candidate_2019,Party_2019,Electors_2019,Votes_2019,Turnout_2019,Margin_2019,Margin %_2019,idx_2024,No_2024,Type_2024,State_2024,Winning Candidate_2024,Party_2024,Electors_2024,Votes_2024,Turnout_2024,Margin_2024,Margin %_2024
Dahod,146.0,17.0,GEN,Gujarat,Katara Babubhai Khimabhai,Bharatiya Janta Party,"12,12,453","5,17,809",42.7 %,361,0.1%,140.0,19.0,ST,Gujarat,Dr. Prabha Kishor Taviad,Indian National Congress,1194821.0,534414.0,44.7 %,58536.0,11.0%,140.0,19.0,ST,Gujarat,Jasvantsinh Sumanbhai Bhabhor,Bharatiya Janta Party,1411765.0,900381.0,63.8 %,230354.0,25.6%,140.0,19.0,ST,Gujarat,Jashvantsinh Sumanbhai Bhabhor,Bharatiya Janta Party,"15,42,941","10,63,212",71.0 %,"1,27,596",12.0%,139.0,19.0,ST,Gujarat,Jaswantsinh Sumanbhai Bhabhor,Bharatiya Janta Party,"18,75,136","11,18,294",59.6 %,"3,33,677",29.8%
Damoh,148.0,7.0,GEN,Madhya Pradesh [2000 Onwards],Chandrabhan Bhaiya,Bharatiya Janta Party,"13,98,539","5,91,038",42.3 %,"94,595",16.0%,143.0,7.0,GEN,Madhya Pradesh [2000 Onwards],Shivraj Bhaiya,Bharatiya Janta Party,1357985.0,599295.0,44.1 %,70877.0,11.8%,143.0,7.0,GEN,Madhya Pradesh [2000 Onwards],Prahalad Singh Patel,Bharatiya Janta Party,1651106.0,912080.0,55.2 %,213299.0,23.4%,143.0,7.0,GEN,Madhya Pradesh [2000 Onwards],Prahalad Singh Patel,Bharatiya Janta Party,"17,37,702","11,64,226",67.4 %,"3,53,411",30.4%,142.0,7.0,GEN,Madhya Pradesh [2000 Onwards],Rahul Singh Lodhi,Bharatiya Janta Party,"19,25,314","10,88,944",56.6 %,"4,06,426",37.3%
Darbhanga,149.0,15.0,GEN,Bihar [2000 Onwards],Md. Ali Ashraf Fatmi,Rashtriya Janata Dal,"12,02,456","7,64,102",63.6 %,"1,43,463",18.8%,144.0,14.0,GEN,Bihar [2000 Onwards],Kirti Azad,Bharatiya Janta Party,1307067.0,545726.0,41.8 %,46453.0,8.5%,144.0,14.0,GEN,Bihar [2000 Onwards],Kirti Azad,Bharatiya Janta Party,1495446.0,828342.0,55.4 %,35043.0,4.2%,144.0,14.0,GEN,Bihar [2000 Onwards],Gopal Jee Thakur,Bharatiya Janta Party,"16,44,671","9,64,996",59.9 %,"2,67,979",27.8%,143.0,14.0,GEN,Bihar [2000 Onwards],Gopal Jee Thakur,Bharatiya Janta Party,"17,81,356","10,24,184",57.5 %,"1,78,156",17.4%
Darjeeling,150.0,4.0,GEN,West Bengal,Dawa Narbula,Indian National Congress,"12,49,238","8,86,298",71.0 %,"1,01,416",11.4%,145.0,4.0,GEN,West Bengal,Jaswant Singh,Bharatiya Janta Party,1215464.0,967400.0,79.6 %,253289.0,26.2%,145.0,4.0,GEN,West Bengal,S.S.Ahluwalia,Bharatiya Janta Party,1437126.0,1142009.0,79.5 %,197239.0,17.3%,145.0,4.0,GEN,West Bengal,Raju Bista,Bharatiya Janta Party,"15,19,531","12,67,270",84.1 %,"4,13,443",32.6%,144.0,4.0,GEN,West Bengal,Raju Bista,Bharatiya Janta Party,"17,65,744","13,27,412",75.2 %,"1,78,525",13.4%
Darrang-Udalguri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,4.0,GEN,Assam,Dilip Saikia,Bharatiya Janta Party,"22,09,314","18,11,200",82.0 %,"3,29,012",18.2%
Dausa,151.0,7.0,GEN,Rajasthan,Sachin Pilot,Indian National Congress,"14,62,752","7,15,613",48.9 %,"1,14,865",16.1%,146.0,11.0,ST,Rajasthan,Kirodi Lal,Independent,1315810.0,841583.0,64.0 %,137759.0,16.4%,146.0,11.0,ST,Rajasthan,Harish Chandra Meena,Bharatiya Janta Party,1524095.0,930492.0,61.1 %,45404.0,4.9%,146.0,11.0,ST,Rajasthan,Jaskaur Meena,Bharatiya Janta Party,"16,92,217","10,62,834",63.2 %,"78,444",7.4%,146.0,11.0,ST,Rajasthan,Murari Lal Meena,Indian National Congress,"18,99,304","10,72,734",56.5 %,"2,37,340",22.1%
Delhi Sadar,153.0,6.0,GEN,Delhi [1977 Onwards],Jagdish Tytler,Indian National Congress,"4,71,813","2,71,552",57.6 %,"15,974",5.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deogarh,154.0,18.0,GEN,Orissa,Dharmendra Pradhan,Bharatiya Janta Party,"12,19,887","8,23,184",67.5 %,"79,096",9.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deoria,155.0,37.0,GEN,Uttar Pradesh [2000 Onwards],Mohan Singh,Samajwadi Party,"15,69,719","7,30,406",46.5 %,"52,226",7.2%,148.0,66.0,GEN,Uttar Pradesh [2000 Onwards],Gorakh Prasad Jaiswal,Bahujan Samaj Party,1580745.0,715579.0,45.3 %,41779.0,5.8%,148.0,66.0,GEN,Uttar Pradesh [2000 Onwards],Kalraj Mishra,Bharatiya Janta Party,1806926.0,971557.0,53.8 %,265386.0,27.3%,148.0,66.0,GEN,Uttar Pradesh [2000 Onwards],Ramapati Ram Tripathi,Bharatiya Janta Party,"17,51,752","10,15,363",58.7 %,"2,49,931",24.6%,148.0,66.0,GEN,Uttar Pradesh [2000 Onwards],Shashank Mani,Bharatiya Janta Party,"18,73,821","10,43,308",55.7 %,"34,842",3.3%
Dewas,,,,,,,,,,,,149.0,21.0,SC,Madhya Pradesh [2000 Onwards],Sajjan Singh Verma,Indian National Congress,1297313.0,787381.0,60.7 %,15457.0,2.0%,149.0,21.0,SC,Madhya Pradesh [2000 Onwards],Manohar Untwal,Bharatiya Janta Party,1617215.0,1143968.0,70.7 %,260313.0,22.8%,149.0,21.0,SC,Madhya Pradesh [2000 Onwards],Mahendra Singh Solanky,Bharatiya Janta Party,"17,18,488","13,98,946",81.9 %,"3,72,249",26.6%,149.0,21.0,SC,Madhya Pradesh [2000 Onwards],Mahendra Singh Solanky,Bharatiya Janta Party,"19,40,472","14,69,104",75.7 %,"4,25,225",28.9%
Dhanbad,156.0,7.0,GEN,Jharkhand,Chandra Shekhar Dubey,Indian National Congress,"17,49,456","9,41,715",53.8 %,"1,19,378",12.7%,150.0,7.0,GEN,Jharkhand,Pashupati Nath Singh,Bharatiya Janta Party,1806475.0,813521.0,45.0 %,58047.0,7.1%,150.0,7.0,GEN,Jharkhand,Pashupati Nath Singh,Bharatiya Janta Party,1889994.0,1143902.0,60.5 %,292954.0,25.6%,150.0,7.0,GEN,Jharkhand,Pashupati Nath Singh,Bharatiya Janta Party,"20,50,314","12,52,817",61.3 %,"4,86,194",38.8%,150.0,7.0,GEN,Jharkhand,Dulu Mahato,Bharatiya Janta Party,"22,85,237","14,28,007",62.5 %,"3,31,583",23.2%
Dhandhuka,157.0,9.0,GEN,Gujarat,Varma Ratilal Kalidas,Bharatiya Janta Party,"11,56,178","5,16,531",44.7 %,"22,794",4.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhar,158.0,25.0,ST,Madhya Pradesh [2000 Onwards],Chhatar Singh Darbar,Bharatiya Janta Party,"13,25,680","7,02,989",53.0 %,"32,611",4.6%,151.0,25.0,ST,Madhya Pradesh [2000 Onwards],Gajendra Singh Rajukhedi,Indian National Congress,1197172.0,654832.0,54.7 %,2661.0,0.4%,151.0,25.0,ST,Madhya Pradesh [2000 Onwards],Savitri Thakur,Bharatiya Janta Party,1668441.0,1076816.0,64.5 %,104328.0,9.7%,151.0,25.0,ST,Madhya Pradesh [2000 Onwards],Chattarsingh Darbar,Bharatiya Janta Party,"17,52,846","13,44,132",77.7 %,"1,56,029",11.6%,151.0,25.0,ST,Madhya Pradesh [2000 Onwards],Savitri Thakur,Bharatiya Janta Party,"19,53,834","14,25,044",72.9 %,"2,18,665",15.3%
Dharmapuri,159.0,13.0,SC,Tamil Nadu,"Senthil, Dr. R.",Pattali Makkal Katchi,"12,95,521","7,07,804",54.6 %,"2,16,090",30.5%,152.0,10.0,GEN,Tamil Nadu,Thamaraiselvan. R,Dravida Munetra Kazhagam,1069601.0,778634.0,72.8 %,135942.0,17.5%,152.0,10.0,GEN,Tamil Nadu,Anbumani Ramadoss,Pattali Makkal Katchi,1358273.0,1101345.0,81.1 %,77146.0,7.0%,152.0,10.0,GEN,Tamil Nadu,Dnv Senthilkumar. S.,Dravida Munetra Kazhagam,"14,53,257","12,23,205",85.1 %,"70,753",5.8%,152.0,10.0,GEN,Tamil Nadu,Mani. A.,Dravida Munnetra Kazhagam,"15,24,896","12,47,832",81.8 %,"21,300",1.7%
Dharwad North,160.0,24.0,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,"12,50,578","8,09,816",64.8 %,"83,078",10.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhaurahra,,,,,,,,,,,,154.0,29.0,GEN,Uttar Pradesh [2000 Onwards],Kunwar Jitin Prasad,Indian National Congress,1269584.0,759548.0,59.8 %,184509.0,24.3%,154.0,29.0,GEN,Uttar Pradesh [2000 Onwards],Rekha,Bharatiya Janta Party,1558039.0,1060271.0,68.1 %,125675.0,11.9%,154.0,29.0,GEN,Uttar Pradesh [2000 Onwards],Rekha Verma,Bharatiya Janta Party,"16,04,211","10,63,840",67.0 %,"1,60,611",15.1%,154.0,29.0,GEN,Uttar Pradesh [2000 Onwards],Anand Bhadauriya,Samajwadi Party,"17,19,345","11,11,847",64.7 %,"4,449",0.4%
Dhenkanal,162.0,19.0,GEN,Orissa,Tathagata Satapathy,Biju Janata Dal,"11,74,787","7,90,179",67.3 %,"1,22,882",15.6%,155.0,9.0,GEN,Orissa,Tathagata Satpathy,Biju Janata Dal,1283608.0,856631.0,66.7 %,186587.0,21.8%,155.0,9.0,GEN,Orissa,Tathagata Satpathy,Biju Janata Dal,1363467.0,1042101.0,76.4 %,137340.0,13.2%,155.0,9.0,GEN,Orissa,Mahesh Sahoo,Biju Janata Dal,"14,61,182","11,31,522",78.2 %,"35,412",3.1%,155.0,9.0,GEN,Orissa,Rudra Narayan Pany,Bharatiya Janta Party,"15,29,785","11,91,673",77.9 %,"76,567",6.4%
Dhubri,163.0,4.0,GEN,Assam,Anwar Hussain,Indian National Congress,"11,49,939","8,63,463",75.1 %,"1,16,622",13.5%,156.0,4.0,GEN,Assam,Badruddin Ajmal,Assam United Democratic Front,1371949.0,1046985.0,76.3 %,184419.0,17.6%,156.0,4.0,GEN,Assam,Badruddin Ajmal,All India United Democratic Front,1552554.0,1369624.0,88.2 %,229730.0,16.8%,156.0,4.0,GEN,Assam,Badruddin Ajmal,All India United Democratic Front,"17,99,561","16,85,005",94.1 %,"2,26,258",13.4%,156.0,2.0,GEN,Assam,Rakibul Hussain,Indian National Congress,"26,60,827","24,53,608",92.2 %,"10,12,476",41.3%
Dhule,164.0,14.0,GEN,Maharashtra,Chaurey Bapu Hari,Indian National Congress,"12,26,114","4,55,308",37.1 %,"7,765",1.7%,157.0,2.0,GEN,Maharashtra,Sonawane Pratap Narayanrao,Bharatiya Janta Party,1575227.0,670487.0,42.6 %,19419.0,2.9%,157.0,2.0,GEN,Maharashtra,Dr. Bhamre Subhash Ramrao,Bharatiya Janta Party,1674469.0,983083.0,58.7 %,130723.0,13.3%,157.0,2.0,GEN,Maharashtra,Bhamre Subhash Ramrao,Bharatiya Janta Party,"17,87,801","10,85,038",60.8 %,"2,29,243",21.1%,157.0,2.0,GEN,Maharashtra,Bachhav Shobha Dinesh,Indian National Congress,"20,22,061","12,19,295",60.3 %,"3,831",0.3%
Dibrugarh,166.0,13.0,GEN,Assam,Sarbananda Sonowal,Asom Gana Parisad,"9,69,905","6,31,416",65.1 %,"18,554",2.9%,159.0,13.0,GEN,Assam,Paban Singh Ghatowar,Indian National Congress,1114965.0,750734.0,67.3 %,35143.0,4.7%,159.0,13.0,GEN,Assam,Rameswar Teli,Bharatiya Janta Party,1124305.0,890968.0,79.3 %,185347.0,20.8%,159.0,13.0,GEN,Assam,Rameswar Teli,Bharatiya Janta Party,"12,65,748","10,15,748",81.9 %,"3,64,566",35.9%,159.0,13.0,GEN,Assam,Sarbananda Sonowal,Bharatiya Janta Party,"16,59,588","12,78,322",77.0 %,"2,79,321",21.9%
Dindigul,167.0,23.0,GEN,Tamil Nadu,"Chitthan, N. S. V.",Indian National Congress,"11,37,313","6,88,646",60.6 %,"1,55,171",22.5%,160.0,22.0,GEN,Tamil Nadu,Chitthan N S V,Indian National Congress,1085696.0,821253.0,75.6 %,54347.0,6.6%,160.0,22.0,GEN,Tamil Nadu,Udhaya Kumar .M,All India Anna Dravida Munnetra Kazhagam,1400531.0,1083364.0,77.4 %,127845.0,11.8%,160.0,22.0,GEN,Tamil Nadu,"Velusamy, P.",Dravida Munetra Kazhagam,"15,18,633","11,60,046",77.3 %,"5,38,972",46.5%,160.0,22.0,GEN,Tamil Nadu,Sachithanantham R,Communist Party Of India (Marxist),"16,07,051","11,49,621",71.5 %,"4,43,821",38.6%
Dindori,,,,,,,,,,,,161.0,20.0,ST,Maharashtra,Chavan Harishchandra Deoram,Bharatiya Janta Party,1432938.0,681629.0,47.6 %,37347.0,5.5%,161.0,20.0,ST,Maharashtra,Chavan Harishchandra Deoram,Bharatiya Janta Party,1530139.0,970182.0,63.4 %,247619.0,25.5%,161.0,20.0,ST,Maharashtra,Dr. Bharati Pravin Pawar,Bharatiya Janta Party,"16,51,955","11,37,631",69.4 %,"1,98,779",17.5%,161.0,20.0,ST,Maharashtra,Bhaskar Murlidhar Bhagare,Nationalist Congress Party – Sharadchandra Pawar,"18,53,387","12,40,910",67.0 %,"1,13,199",9.1%
Diphu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,6.0,ST,Assam,Amarsing Tisso,Bharatiya Janta Party,"9,01,032","6,82,827",75.8 %,"1,47,603",21.6%
Dum Dum,169.0,20.0,SC,West Bengal,Amitava Nandy,Communist Party Of India (MARXIST),"15,43,705","12,45,065",80.7 %,"98,252",7.9%,163.0,16.0,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,1212220.0,976769.0,80.6 %,20478.0,2.1%,163.0,16.0,GEN,West Bengal,Saugata Roy,All India Trinamool Congress,1405981.0,1132644.0,80.6 %,154934.0,13.7%,163.0,16.0,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,"16,99,710","12,04,660",71.7 %,"53,002",4.4%,164.0,16.0,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,"16,99,656","12,60,046",74.1 %,"70,660",5.6%
Dumka,170.0,2.0,ST,Jharkhand,Shibu Soren,Jharkhand Mukti Morcha,"10,83,200","6,25,043",57.7 %,"1,15,015",18.4%,164.0,2.0,ST,Jharkhand,Shibu Soren,Jharkhand Mukti Morcha,1128361.0,622736.0,55.2 %,18812.0,3.0%,164.0,2.0,ST,Jharkhand,Shibu Soren,Jharkhand Mukti Morcha,1247155.0,903060.0,72.4 %,39030.0,4.3%,164.0,2.0,ST,Jharkhand,Sunil Soren,Bharatiya Janta Party,"13,49,843","10,25,968",77.1 %,"47,590",4.6%,165.0,2.0,ST,Jharkhand,Nalin Soren,Jharkhand Mukti Morcha,"15,91,061","11,84,132",74.4 %,"22,527",1.9%
Durg,171.0,10.0,ST,Chhattisgarh,Tarachand Sahu,Bharatiya Janta Party,"14,62,883","7,61,323",52.0 %,"61,468",8.1%,165.0,7.0,GEN,Chhattisgarh,Saroj Pandey,Bharatiya Janta Party,1620400.0,905900.0,55.9 %,9954.0,1.1%,165.0,7.0,GEN,Chhattisgarh,Tamradhwaj Sahu,Indian National Congress,1855781.0,1258342.0,67.8 %,16848.0,1.3%,165.0,7.0,GEN,Chhattisgarh,Vijay Baghel,Bharatiya Janta Party,"18,78,677","13,91,996",74.3 %,"3,91,978",28.2%,166.0,7.0,GEN,Chhattisgarh,Vijay Baghel,Bharatiya Janta Party,"20,90,414","15,42,787",73.8 %,"4,38,226",28.4%
Durgapur,172.0,37.0,SC,West Bengal,Sunil Khan,Communist Party Of India (MARXIST),"11,50,939","8,44,777",73.4 %,"2,77,508",32.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Delhi,173.0,4.0,GEN,Delhi [1977 Onwards],Sandeep Dikshit,Indian National Congress,"26,06,589","11,90,884",45.7 %,"2,29,779",19.3%,166.0,3.0,GEN,Delhi [1977 Onwards],Sandeep Dikshit,Indian National Congress,1604795.0,857422.0,53.4 %,241053.0,28.1%,166.0,3.0,GEN,Delhi [1977 Onwards],Maheish Girri,Bharatiya Janta Party,1829578.0,1196336.0,65.4 %,190463.0,15.9%,166.0,3.0,GEN,Delhi [1977 Onwards],Jadunandan Prasad,Bharatiya Janta Party,"18,29,578","12,57,821",69.0 %,"3,91,222",31.1%,167.0,3.0,GEN,Delhi [1977 Onwards],Harsh Malhotra,Bharatiya Janta Party,"21,20,584","12,64,049",59.6 %,"93,663",7.4%
Eluru,174.0,11.0,GEN,Andhra Pradesh,Kavuru  Samba Siva Rao,Indian National Congress,"11,51,672","8,94,854",77.7 %,"1,23,291",13.8%,167.0,27.0,GEN,Andhra Pradesh,Kavuri Sambasiva Rao,Indian National Congress,1275575.0,1084439.0,85.0 %,42783.0,3.9%,167.0,27.0,GEN,Andhra Pradesh [2014 Onwards],Maganti Venkateswara Rao (BABU),Telugu Desam,1427760.0,1201696.0,84.2 %,101926.0,8.5%,167.0,10.0,,Andhra Pradesh [2014 Onwards],Kotagiri Sridhar,Yuvajana Sramika Rythu Congress Party,"14,18,277","13,27,923",95.3 %,"1,65,925",12.5%,168.0,10.0,,Andhra Pradesh [2014 Onwards],Putta Mahesh Kumar,Telugu Desam,"16,37,430","13,82,049",84.4 %,"1,81,857",13.2%
Erandol,175.0,16.0,GEN,Maharashtra,Annasaheb M. K. Patil,Bharatiya Janta Party,"12,14,861","6,09,392",50.2 %,"8,141",1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernakulam,176.0,11.0,GEN,Kerala,Dr. Sebastian Paul,Independent,"10,69,131","6,57,891",61.5 %,"70,099",10.7%,168.0,12.0,GEN,Kerala,Prof. K V Thomas,Indian National Congress,1023053.0,745856.0,72.9 %,11790.0,1.6%,168.0,12.0,GEN,Kerala,Prof. K.V. Thomas,Indian National Congress,1156467.0,850834.0,73.6 %,87047.0,10.2%,168.0,12.0,GEN,Kerala,Hibi Eden,Indian National Congress,"11,90,575","9,67,203",81.7 %,"1,69,153",17.5%,169.0,12.0,GEN,Kerala,Hibi Eden,Indian National Congress,"13,24,047","9,10,502",68.8 %,"2,50,385",27.5%
Erode,,,,,,,,,,,,169.0,17.0,GEN,Tamil Nadu,Ganeshamurthi.A.,Marumalarchi Dravida Munnetra Kazhagam,1010079.0,768476.0,76.1 %,49336.0,6.4%,169.0,17.0,GEN,Tamil Nadu,Selvakumara Chinnayan S,All India Anna Dravida Munnetra Kazhagam,1321395.0,1008582.0,76.3 %,211563.0,21.0%,169.0,17.0,GEN,Tamil Nadu,Ganeshamurthi A,Dravida Munetra Kazhagam,"14,27,534","10,67,863",75.8 %,"2,10,618",19.7%,170.0,17.0,GEN,Tamil Nadu,K E Prakash,Dravida Munnetra Kazhagam,"15,38,778","10,93,423",71.1 %,"2,36,566",21.6%
Etah,177.0,67.0,SC,Uttar Pradesh [2000 Onwards],Ku. Devendra Singh Yadav,Samajwadi Party,"11,28,519","5,87,065",52.0 %,"51,335",8.7%,170.0,22.0,GEN,Uttar Pradesh [2000 Onwards],Kalyan Singh R O Madholi,Independent,1278295.0,568046.0,44.4 %,128268.0,22.6%,170.0,22.0,GEN,Uttar Pradesh [2000 Onwards],Rajveer Singh (RAJU BHAIYA),Bharatiya Janta Party,1577457.0,926281.0,58.7 %,201001.0,21.7%,170.0,22.0,GEN,Uttar Pradesh [2000 Onwards],Rajveer Singh (Raju Bhaiya),Bharatiya Janta Party,"15,87,949","9,99,607",63.3 %,"1,22,670",12.3%,171.0,22.0,GEN,Uttar Pradesh [2000 Onwards],Devesh Shakya,Samajwadi Party,"17,00,524","10,10,381",59.4 %,"28,052",2.8%
Etawah,178.0,62.0,GEN,Uttar Pradesh [2000 Onwards],Raghuraj Singh Shakya,Samajwadi Party,"12,64,620","7,03,901",55.7 %,"1,90,157",27.0%,171.0,41.0,SC,Uttar Pradesh [2000 Onwards],Premdas,Samajwadi Party,1416867.0,638202.0,45.0 %,46746.0,7.3%,171.0,41.0,SC,Uttar Pradesh [2000 Onwards],Ashok Kumar Doharey,Bharatiya Janta Party,1707237.0,939604.0,55.0 %,172946.0,18.4%,171.0,41.0,SC,Uttar Pradesh [2000 Onwards],Dr Ram Shankar Katheria,Bharatiya Janta Party,"17,14,935","10,27,815",60.3 %,"64,437",6.3%,172.0,41.0,SC,Uttar Pradesh [2000 Onwards],Jitendra Kumar Dohare,Samajwadi Party,"18,28,498","10,33,784",56.5 %,"58,419",5.7%
Faizabad,179.0,24.0,GEN,Uttar Pradesh [2000 Onwards],Mitrasen,Bahujan Samaj Party,"13,26,533","6,86,478",51.8 %,"33,486",4.9%,172.0,54.0,GEN,Uttar Pradesh [2000 Onwards],Nirmal Khatri,Indian National Congress,1500160.0,749262.0,50.0 %,54228.0,7.2%,172.0,54.0,GEN,Uttar Pradesh [2000 Onwards],Lallu Singh,Bharatiya Janta Party,1738701.0,1022716.0,58.8 %,282775.0,27.6%,172.0,54.0,GEN,Uttar Pradesh [2000 Onwards],Lallu Singh,Bharatiya Janta Party,"17,83,699","10,87,121",61.5 %,"65,477",6.0%,173.0,54.0,GEN,Uttar Pradesh [2000 Onwards],Awadhesh Prasad,Samajwadi Party,"19,27,459","11,40,661",59.2 %,"54,567",4.8%
Faridabad,180.0,6.0,GEN,Haryana,Avtar Singh Bhadana,Indian National Congress,"15,46,578","8,44,647",54.6 %,"1,51,929",18.0%,173.0,10.0,GEN,Haryana,Avtar Singh Bhadana,Indian National Congress,1103046.0,624896.0,56.7 %,68201.0,10.9%,173.0,10.0,GEN,Haryana,Krishan Pal,Bharatiya Janta Party,1740352.0,1130726.0,65.0 %,466873.0,41.3%,173.0,10.0,GEN,Haryana,Krishan Pal,Bharatiya Janta Party,"19,26,323","13,27,295",69.2 %,"6,38,239",48.1%,174.0,10.0,GEN,Haryana,Krishan Pal,Bharatiya Janta Party,"24,30,212","14,71,322",60.5 %,"1,72,914",11.8%
Faridkot,181.0,12.0,GEN,Punjab,Sukhbir Singh Badal,Shiromani Akali Dal,"12,62,934","8,93,428",70.7 %,"1,35,279",15.1%,174.0,9.0,SC,Punjab,Paramjit Kaur Gulshan,Shiromani Akali Dal,1288090.0,930521.0,72.2 %,62042.0,6.7%,174.0,9.0,SC,Punjab,Prof. Sadhu Singh,Aam Aadmi Party,1455075.0,1032107.0,70.9 %,172516.0,16.7%,174.0,9.0,SC,Punjab,Mohammad Sadique,Indian National Congress,"15,15,062","9,74,947",65.6 %,"83,256",8.5%,175.0,9.0,SC,Punjab,Sarabjeet Singh Khalsa,Independent,"15,94,033","10,14,455",63.6 %,"70,053",6.9%
Farrukhabad,182.0,64.0,GEN,Uttar Pradesh [2000 Onwards],Chandra Bhushan Singh (MUNNOO BABU),Samajwadi Party,"13,66,501","6,65,458",48.7 %,"2,745",0.4%,175.0,40.0,GEN,Uttar Pradesh [2000 Onwards],Salman Khursheed,Indian National Congress,1306214.0,611143.0,46.8 %,27199.0,4.5%,175.0,40.0,GEN,Uttar Pradesh [2000 Onwards],Mukesh Rajput,Bharatiya Janta Party,1613781.0,970677.0,60.2 %,150502.0,15.5%,175.0,40.0,GEN,Uttar Pradesh [2000 Onwards],Mukesh Rajput,Bharatiya Janta Party,"16,61,488","10,02,953",60.8 %,"2,21,702",22.1%,176.0,40.0,GEN,Uttar Pradesh [2000 Onwards],Mukesh Rajput,Bharatiya Janta Party,"17,47,182","10,33,794",59.2 %,"2,678",0.3%
Firozabad,185.0,68.0,SC,Uttar Pradesh [2000 Onwards],Ram Ji Lal Suman,Samajwadi Party,"13,05,888","5,31,305",40.7 %,"54,788",10.3%,180.0,20.0,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,1422243.0,684881.0,48.2 %,67301.0,9.8%,180.0,20.0,GEN,Uttar Pradesh [2000 Onwards],Akshay Yadav,Samajwadi Party,1636738.0,1104606.0,67.5 %,114059.0,10.3%,180.0,20.0,GEN,Uttar Pradesh [2000 Onwards],Dr. Chandra Sen Jadon,Bharatiya Janta Party,"16,98,385","10,75,866",63.7 %,"28,781",2.7%,181.0,20.0,GEN,Uttar Pradesh [2000 Onwards],Akshaya Yadav,Samajwadi Party,"18,90,772","11,07,296",58.6 %,"89,312",8.1%
Gandhinagar,186.0,11.0,GEN,Gujarat,Lal Krishna Advani,Bharatiya Janta Party,"21,26,829","8,45,212",39.7 %,"2,17,138",25.7%,182.0,6.0,GEN,Gujarat,Lal Krishna Advani,Bharatiya Janta Party,1555709.0,791098.0,50.9 %,121747.0,15.4%,182.0,6.0,GEN,Gujarat,L.K.Advani,Bharatiya Janta Party,1733972.0,1135495.0,65.5 %,483121.0,42.5%,182.0,6.0,GEN,Gujarat,Amit Shah,Bharatiya Janta Party,"18,74,564","12,84,090",69.3 %,"5,57,014",43.4%,183.0,6.0,GEN,Gujarat,Amit Shah,Bharatiya Janta Party,"21,82,736","13,21,802",60.6 %,"7,44,716",56.3%
Ganganagar,187.0,1.0,SC,Rajasthan,Nihalchand Meghwal,Bharatiya Janta Party,"13,37,857","7,20,451",53.9 %,"7,393",1.0%,183.0,1.0,SC,Rajasthan,Bharat Ram Meghwal,Indian National Congress,1491983.0,910531.0,61.0 %,140668.0,15.4%,183.0,1.0,SC,Rajasthan,Nihalchand,Bharatiya Janta Party,1718421.0,1256806.0,73.1 %,291741.0,23.2%,183.0,1.0,SC,Rajasthan,Nihal Chand,Bharatiya Janta Party,"19,01,409","14,51,765",77.2 %,"4,06,978",28.0%,184.0,1.0,SC,Rajasthan,Kuldeep Indora,Indian National Congress,"21,02,002","14,13,494",67.3 %,"88,153",6.2%
Garhwal,188.0,2.0,GEN,Uttarakhand,Maj. Gen. ( RETD) BHUWAN CHANDRA KHANDURI (AVSM),Bharatiya Janta Party,"10,81,299","4,99,546",46.2 %,"50,962",10.2%,184.0,2.0,GEN,Uttarakhand,Satpal Maharaj,Indian National Congress,1092282.0,539608.0,49.4 %,17397.0,3.2%,184.0,2.0,GEN,Uttarakhand,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),Bharatiya Janta Party,1269083.0,682024.0,53.7 %,184526.0,27.1%,184.0,2.0,GEN,Uttarakhand,Tirath Singh Rawat,Bharatiya Janta Party,"12,95,238","7,42,784",58.3 %,"3,02,669",40.7%,185.0,2.0,GEN,Uttarakhand,Anil Baluni,Bharatiya Janta Party,"13,69,388","7,37,431",53.9 %,"1,63,503",22.2%
